no;title;year;genre;origin;director;star;imdb_link;image_url
166;Roma�;2018;Drama;Mexico;Alfonso Cuar�n;Yalitza Aparicio;https://www.imdb.com/title/tt6155172;https://m.media-amazon.com/images/M/MV5BMTU0OTc3ODk4Ml5BMl5BanBnXkFtZTgwMzM4NzI5NjM@._V1_FMjpg_UX1000_.jpg
167;The Deer Hunter;1978;Drama;USA;Michael Cimino;Robert De Niro;https://www.imdb.com/title/tt0077416;https://m.media-amazon.com/images/M/MV5BNDhmNTA0ZDMtYjhkNS00NzEzLWIzYTItOGNkMTVmYjE2YmI3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
168;Finding Nemo;2003;Adventure;USA;Andrew Stanton;Albert Brooks;https://www.imdb.com/title/tt0266543;https://m.media-amazon.com/images/M/MV5BNjY3MjcxZjctZGIzMS00MjJmLWI2YTQtNGE2NWYyZDc4NDIzXkEyXkFqcGdeQXVyOTgxMDMxNTc@._V1_FMjpg_UX1000_.jpg
169;Idi i smotri;1985;Drama;Soviet Union;Elem Klimov;Aleksey Kravchenko;https://www.imdb.com/title/tt0091251;https://m.media-amazon.com/images/M/MV5BODM4Njg0NTAtYjI5Ny00ZjAxLTkwNmItZTMxMWU5M2U3M2RjXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
170;The Big Lebowski;1998;Comedy;USA;Joel Coen;Jeff Bridges;https://www.imdb.com/title/tt0118715;https://m.media-amazon.com/images/M/MV5BY2YxMjQxYjctYTQyOC00MDYxLTgxYjItYTVkYTg5OTFjNmUwXkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
171;Shutter Island;2010;Thriller;USA;Martin Scorsese;Leonardo DiCaprio;https://www.imdb.com/title/tt1130884;https://m.media-amazon.com/images/M/MV5BYjhmMDE4ZjktNDAxZC00MDgwLWI2YjQtNzIzNWY1MjU4OWJkXkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
172;Sherlock Jr.;1924;Romance;USA;Buster Keaton;Buster Keaton;https://www.imdb.com/title/tt0015324;https://m.media-amazon.com/images/M/MV5BZWFhOGU5NDctY2Q3YS00Y2VlLWI1NzEtZmIwY2ZiZjY4OTA2XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_FMjpg_UX1000_.jpg
173;Kill Bill: Vol. 1;2003;Action;USA;Quentin Tarantino;Uma Thurman;https://www.imdb.com/title/tt0266697;https://m.media-amazon.com/images/M/MV5BNzM3NDFhYTAtYmU5Mi00NGRmLTljYjgtMDkyODQ4MjNkMGY2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
174;Cool Hand Luke;1967;Drama;USA;Stuart Rosenberg;Paul Newman;https://www.imdb.com/title/tt0061512;https://m.media-amazon.com/images/M/MV5BNjcwNTQ3Y2EtMjdmZi00ODBhLWFhNzQtOTc3MWU5NTZlMDViXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
175;Rebecca;1940;Thriller;USA;Alfred Hitchcock;Laurence Olivier;https://www.imdb.com/title/tt0032976;https://m.media-amazon.com/images/M/MV5BYTcxYWExOTMtMWFmYy00ZjgzLWI0YjktNWEzYzJkZTg0NDdmL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
176;T�ky� monogatari;1953;Drama;Japan;Yasujir� Ozu;Chish� Ry�;https://www.imdb.com/title/tt0046438;https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
177;Mary and Max;2009;Drama;Australia;Adam Elliot;Toni Collette;https://www.imdb.com/title/tt0978762;https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
178;Hacksaw Ridge;2016;Drama;USA;Mel Gibson;Andrew Garfield;https://www.imdb.com/title/tt2119532;https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_FMjpg_UX1000_.jpg
179;Gone Girl;2014;Thriller;USA;David Fincher;Ben Affleck;https://www.imdb.com/title/tt2267998;https://m.media-amazon.com/images/M/MV5BMTk0MDQ3MzAzOV5BMl5BanBnXkFtZTgwNzU1NzE3MjE@._V1_FMjpg_UX1000_.jpg
180;How to Train Your Dragon;2010;Comedy;USA;Dean DeBlois;Jay Baruchel;https://www.imdb.com/title/tt0892769;https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_FMjpg_UX1000_.jpg
181;Sunrise: A Song of Two Humans;1927;Romance;USA;F.W. Murnau;George O'Brien;https://www.imdb.com/title/tt0018455;https://m.media-amazon.com/images/M/MV5BNDVkYmYwM2ItNzRiMy00NWQ4LTlhMjMtNDI1ZDYyOGVmMzJjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_FMjpg_UX1000_.jpg
182;Relatos salvajes;2014;Drama;Argentina;Dami�n Szifron;Dar�o Grandinetti;https://www.imdb.com/title/tt3011894;https://m.media-amazon.com/images/M/MV5BMGQwMDM3ZTktNjkyNC00OTI5LTg1NDItYjZkZTY0OGFhODdhXkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_FMjpg_UX1000_.jpg
183;Jurassic Park;1993;Adventure;USA;Steven Spielberg;Sam Neill;https://www.imdb.com/title/tt0107290;https://m.media-amazon.com/images/M/MV5BMjM2MDgxMDg0Nl5BMl5BanBnXkFtZTgwNTM2OTM5NDE@._V1_FMjpg_UX1000_.jpg
184;Into the Wild;2007;Drama;USA;Sean Penn;Emile Hirsch;https://www.imdb.com/title/tt0758758;https://m.media-amazon.com/images/M/MV5BNjQ0ODlhMWUtNmUwMS00YjExLWI4MjQtNjVmMmE2Y2E0MGRmXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg
185;Life of Brian;1979;Comedy;UK;Terry Jones;Graham Chapman;https://www.imdb.com/title/tt0079470;https://m.media-amazon.com/images/M/MV5BMDA1ZWI4ZDItOTRlYi00OTUxLWFlNWQtMzM5NDI0YjA4ZGI2XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
186;In the Name of the Father;1993;Drama;UK;Jim Sheridan;Daniel Day-Lewis;https://www.imdb.com/title/tt0107207;https://m.media-amazon.com/images/M/MV5BMmYyOTgwYWItYmU3Ny00M2E2LTk0NWMtMDVlNmQ0MWZiMTMxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
187;The Truman Show;1998;Drama;USA;Peter Weir;Jim Carrey;https://www.imdb.com/title/tt0120382;https://m.media-amazon.com/images/M/MV5BMDIzODcyY2EtMmY2MC00ZWVlLTgwMzAtMjQwOWUyNmJjNTYyXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_FMjpg_UX1000_.jpg
188;The Grand Budapest Hotel;2014;Drama;USA;Wes Anderson;Ralph Fiennes;https://www.imdb.com/title/tt2278388;https://m.media-amazon.com/images/M/MV5BMzM5NjUxOTEyMl5BMl5BanBnXkFtZTgwNjEyMDM0MDE@._V1_FMjpg_UX1000_.jpg
189;Platoon;1986;Drama;USA;Oliver Stone;Charlie Sheen;https://www.imdb.com/title/tt0091763;https://m.media-amazon.com/images/M/MV5BMzRjZjdlMjQtODVkYS00N2YzLWJlYWYtMGVlN2E5MWEwMWQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
190;Stand by Me;1986;Drama;USA;Rob Reiner;Wil Wheaton;https://www.imdb.com/title/tt0092005;https://m.media-amazon.com/images/M/MV5BODJmY2Y2OGQtMDg2My00N2Q3LWJmZTUtYTc2ODBjZDVlNDlhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_FMjpg_UX1000_.jpg
191;It Happened One Night;1934;Comedy;USA;Frank Capra;Clark Gable;https://www.imdb.com/title/tt0025316;https://m.media-amazon.com/images/M/MV5BYzJmMWE5NjAtNWMyZS00NmFiLWIwMDgtZDE2NzczYWFhNzIzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
192;Eskiya�;1996;Drama;Turkey;Yavuz Turgul;�ener �en;https://www.imdb.com/title/tt0116231;https://m.media-amazon.com/images/M/MV5BOGQ4ZjFmYjktOGNkNS00OWYyLWIyZjgtMGJjM2U1ZTA0ZTlhXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
193;Network;1976;Drama;USA;Sidney Lumet;Faye Dunaway;https://www.imdb.com/title/tt0074958;https://m.media-amazon.com/images/M/MV5BNzY0NjU5ODUtOTAzMC00NTU5LWJkZjctYWMyOWY2MTZmOWM1XkEyXkFqcGdeQXVyMTI3ODAyMzE2._V1_FMjpg_UX1000_.jpg
194;Stalker;1979;Drama;Soviet Union;Andrei Tarkovsky;Alisa Freyndlikh;https://www.imdb.com/title/tt0079944;https://m.media-amazon.com/images/M/MV5BMDgwODNmMGItMDcwYi00OWZjLTgyZjAtMGYwMmI4N2Q0NmJmXkEyXkFqcGdeQXVyNzY1MTU0Njk@._V1_FMjpg_UX1000_.jpg
195;Persona;1966;Drama;Sweden;Ingmar Bergman;Bibi Andersson;https://www.imdb.com/title/tt0060827;https://m.media-amazon.com/images/M/MV5BYmFlOTcxMWUtZTMzMi00NWIyLTkwOTEtNjIxNmViNzc2Yzc1XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
196;Salinui chueok;2003;Thriller;South Korea;Joon-ho Bong;Song Kang-ho;https://www.imdb.com/title/tt0353969;https://m.media-amazon.com/images/M/MV5BOGViNTg4YTktYTQ2Ni00MTU0LTk2NWUtMTI4OTc1YTM0NzQ2XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_FMjpg_UX1000_.jpg
197;Ben-Hur;1959;History;USA;William Wyler;Charlton Heston;https://www.imdb.com/title/tt0052618;https://m.media-amazon.com/images/M/MV5BNjgxY2JiZDYtZmMwOC00ZmJjLWJmODUtMTNmNWNmYWI5ODkwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
198;Hotel Rwanda;2004;History;South Africa;Terry George;Don Cheadle;https://www.imdb.com/title/tt0395169;https://m.media-amazon.com/images/M/MV5BZGJjYmIzZmQtNWE4Yy00ZGVmLWJkZGEtMzUzNmQ4ZWFlMjRhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
199;12 Years a Slave;2013;History;USA;Steve McQueen;Chiwetel Ejiofor;https://www.imdb.com/title/tt2024544;https://m.media-amazon.com/images/M/MV5BMjExMTEzODkyN15BMl5BanBnXkFtZTcwNTU4NTc4OQ@@._V1_FMjpg_UX1000_.jpg
200;Million Dollar Baby;2004;Drama;USA;Clint Eastwood;Hilary Swank;https://www.imdb.com/title/tt0405159;https://m.media-amazon.com/images/M/MV5BMTkxNzA1NDQxOV5BMl5BanBnXkFtZTcwNTkyMTIzMw@@._V1_FMjpg_UX1000_.jpg
201;La passion de Jeanne d'Arc;1928;History;France;Carl Theodor Dreyer;Maria Falconett;https://www.imdb.com/title/tt0019254;https://m.media-amazon.com/images/M/MV5BNjBjNDJiYTUtOWY0OS00OGVmLTg2YzctMTE0NzVhODM1ZWJmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
202;Rush;2013;Drama;Germany;Ron Howard;Daniel Br�hl;https://www.imdb.com/title/tt1979320;https://m.media-amazon.com/images/M/MV5BOWEwODJmZDItYTNmZC00OGM4LThlNDktOTQzZjIzMGQxODA4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
203;Andrey Rublev;1966;History;Soviet Union;Andrei Tarkovsky;Anatoliy Solonitsyn;https://www.imdb.com/title/tt0060107;https://m.media-amazon.com/images/M/MV5BM2U2MzYwMzAtM2Q2Zi00OTJhLTgxMjEtOGM0NDk5Mzk4MzE5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjMxMjkwMjI@._V1_FMjpg_UX1000_.jpg
204;Le salaire de la peur;1953;Drama;Italy;Henri-Georges Clouzot;Yves Montand;https://www.imdb.com/title/tt0046268;https://m.media-amazon.com/images/M/MV5BZDdkNzMwZmUtY2Q5MS00ZmM2LWJhYjItYTBjMWY0MGM4MDRjXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_FMjpg_UX1000_.jpg
205;Before Sunrise;1995;Romance;Switzerland;Richard Linklater;Ethan Hawke;https://www.imdb.com/title/tt0112471;https://m.media-amazon.com/images/M/MV5BZDdiZTAwYzAtMDI3Ni00OTRjLTkzN2UtMGE3MDMyZmU4NTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
206;Mad Max: Fury Road;2015;Adventure;USA;George Miller;Tom Hardy;https://www.imdb.com/title/tt1392190;https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
207;Les quatre cents coups;1959;Drama;France;Fran�ois Truffaut;Jean-Pierre L�aud;https://www.imdb.com/title/tt0053198;https://m.media-amazon.com/images/M/MV5BYTQ4MjA4NmYtYjRhNi00MTEwLTg0NjgtNjk3ODJlZGU4NjRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
208;Prisoners;2013;Drama;USA;Denis Villeneuve;Hugh Jackman;https://www.imdb.com/title/tt1392214;https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_FMjpg_UX1000_.jpg
209;Hachi: A Dog's Tale;2009;Drama;USA;Lasse Hallstr�m;Richard Gere;https://www.imdb.com/title/tt1028532;https://m.media-amazon.com/images/M/MV5BNzE4NDg5OWMtMzg3NC00ZDRjLTllMDMtZTRjNWZmNjBmMGZlXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
210;Spotlight;2015;Drama;USA;Tom McCarthy;Mark Ruffalo;https://www.imdb.com/title/tt1895587;https://m.media-amazon.com/images/M/MV5BMjIyOTM5OTIzNV5BMl5BanBnXkFtZTgwMDkzODE2NjE@._V1_FMjpg_UX1000_.jpg
211;Logan;2017;Drama;USA;James Mangold;Hugh Jackman;https://www.imdb.com/title/tt3315342;https://m.media-amazon.com/images/M/MV5BYzc5MTU4N2EtYTkyMi00NjdhLTg3NWEtMTY4OTEyMzJhZTAzXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
212;Rang De Basanti;2006;Drama;India;Rakeysh Omprakash Mehra;Aamir Khan;https://www.imdb.com/title/tt0405508;https://m.media-amazon.com/images/M/MV5BYThmZDA0YmQtMWJhNy00MDQwLTk0Y2YtMDhmZTE5ZjhlNjliXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_FMjpg_UX1000_.jpg
213;Amores perros;2000;Drama;Mexico;Alejandro G. I��rritu;Emilio Echevarr�a;https://www.imdb.com/title/tt0245712;https://m.media-amazon.com/images/M/MV5BZjUxNmEwOGItMTBmYi00MWQ1LWExY2MtNDUxMjI0OWM4M2NiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
214;The Princess Bride;1987;Romance;USA;Rob Reiner;Cary Elwes;https://www.imdb.com/title/tt0093779;https://m.media-amazon.com/images/M/MV5BYzdiOTVjZmQtNjAyNy00YjA2LTk5ZTAtNmJkMGQ5N2RmNjUxXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
215;Catch Me If You Can;2002;Drama;Canada;Steven Spielberg;Leonardo DiCaprio;https://www.imdb.com/title/tt0264464;https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_FMjpg_UX1000_.jpg
216;Kaze no tani no Naushika;1984;Adventure;Japan;Hayao Miyazaki;Sumi Shimamoto;https://www.imdb.com/title/tt0087544;https://m.media-amazon.com/images/M/MV5BZTI3NmJmYTQtNDg4NS00M2VlLTgzZDAtZWIwZDcyOWY5YzIzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
217;Harry Potter and the Deathly Hallows: Part 2;2011;Drama;USA;David Yates;Daniel Radcliffe;https://www.imdb.com/title/tt1201607;https://m.media-amazon.com/images/M/MV5BNDUxZDhmNjUtMjY5ZC00YTdmLTk1Y2YtNjBiZmJlMjNiNWM5XkEyXkFqcGdeQXVyOTgxMDMxNTc@._V1_FMjpg_UX1000_.jpg
218;Butch Cassidy and the Sundance Kid;1969;Western;USA;George Roy Hill;Paul Newma;https://www.imdb.com/title/tt0064115;https://m.media-amazon.com/images/M/MV5BMTkyMTM2NDk5Nl5BMl5BanBnXkFtZTgwNzY1NzEyMDE@._V1_FMjpg_UX1000_.jpg
219;Rocky;1976;Drama;USA;John G. Avildsen;Sylvester Stallone;https://www.imdb.com/title/tt0075148;https://m.media-amazon.com/images/M/MV5BNjdjNzkxYzYtODM3OS00ODQ4LTg3MWEtZTE0MDdhMGU1NDU1XkEyXkFqcGdeQXVyMjI0NTA4NzA@._V1_FMjpg_UX1000_.jpg
220;Barry Lyndon;1975;War;USA;Stanley Kubrick;Ryan O'Neal;https://www.imdb.com/title/tt0072684;https://m.media-amazon.com/images/M/MV5BNmY0MWY2NDctZDdmMi00MjA1LTk0ZTQtZDMyZTQ1NTNlYzVjXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
221;Monsters, Inc.;2001;Comedy;USA;Pete Docter;Billy Crystal;https://www.imdb.com/title/tt0198781;https://m.media-amazon.com/images/M/MV5BZTA4M2FhMzctYWY1Yy00YmNkLTlhMGEtODY4NTg0NjgyMDAwXkEyXkFqcGdeQXVyOTgxMDMxNTc@._V1_FMjpg_UX1000_.jpg
222;The Grapes of Wrath;1940;Drama;USA;John Ford;Henry Fonda;https://www.imdb.com/title/tt0032551;https://m.media-amazon.com/images/M/MV5BNzJiOGI2MjctYjUyMS00ZjkzLWE2ZmUtOTg4NTZkOTNhZDc1L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
223;The Maltese Falcon;1941;Mystery;USA;John Huston;Humphrey Bogart;https://www.imdb.com/title/tt0033870;https://m.media-amazon.com/images/M/MV5BZjIwNGM1ZTUtOThjYS00NDdiLTk2ZDYtNGY5YjJkNzliM2JjL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_FMjpg_UX1000_.jpg
224;Dead Poets Society;1989;Drama;USA;Peter Weir;Robin Williams;https://www.imdb.com/title/tt0097165;https://m.media-amazon.com/images/M/MV5BYWU0ZDgyYjQtZDI0OS00NTI0LTlmYjMtYzZlZTg4MGNiMjdjXkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
225;Donnie Darko;2001;Drama;USA;Richard Kelly;Jake Gyllenhaal;https://www.imdb.com/title/tt0246578;https://m.media-amazon.com/images/M/MV5BZjZlZDlkYTktMmU1My00ZDBiLWFlNjEtYTBhNjVhOTM4ZjJjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
226;The Terminator;1984;Action;USA;James Cameron;Arnold Schwarzenegger;https://www.imdb.com/title/tt0088247;https://m.media-amazon.com/images/M/MV5BYTViNzMxZjEtZGEwNy00MDNiLWIzNGQtZDY2MjQ1OWViZjFmXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_FMjpg_UX1000_.jpg
227;Gandhi;1982;Drama;India;Richard Attenborough;Ben Kingsley;https://www.imdb.com/title/tt0083987;https://m.media-amazon.com/images/M/MV5BYjZiYmYwYjYtOTdlZS00OGM4LTg0NmQtOTg0OGMzMjkyYWM2XkEyXkFqcGdeQXVyMTUzMDUzNTI3._V1_FMjpg_UX1000_.jpg
228;Les diaboliques;1955;Thriller;France;Henri-Georges Clouzot;Simone Signoret;https://www.imdb.com/title/tt0046911;https://m.media-amazon.com/images/M/MV5BMGJmNmU5OTAtOTQyYy00MmM3LTk4MzUtMGFiZDYzODdmMmU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
229;La haine;1995;Drama;France;Mathieu Kassovitz;Vincent Cassel;https://www.imdb.com/title/tt0113247;https://m.media-amazon.com/images/M/MV5BN2JjNjE2OTgtNjFjYy00YjA4LTk1MDEtZjc2NDM4ZmU0NDhlXkEyXkFqcGdeQXVyMTQyMTMwOTk0._V1_FMjpg_UX1000_.jpg
230;Groundhog Day;1993;Comedy;USA;Harold Ramis;Bill Murray;https://www.imdb.com/title/tt0107048;https://m.media-amazon.com/images/M/MV5BZWIxNzM5YzQtY2FmMS00Yjc3LWI1ZjUtNGVjMjMzZTIxZTIxXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
231;The Wizard of Oz;1939;Fantasy;USA;Victor Fleming;Judy Garland;https://www.imdb.com/title/tt0032138;https://m.media-amazon.com/images/M/MV5BNjUyMTc4MDExMV5BMl5BanBnXkFtZTgwNDg0NDIwMjE@._V1_FMjpg_UX1000_.jpg
232;Jaws;1975;Drama;USA;Steven Spielberg;Roy Scheider;https://www.imdb.com/title/tt0073195;https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_FMjpg_UX1000_.jpg
233;Le notti di Cabiria;1957;Drama;Italy;Federico Fellini;Giulietta Masina;https://www.imdb.com/title/tt0050783;https://m.media-amazon.com/images/M/MV5BOTdhNmUxZmQtNmMwNC00MzE3LWE1MTUtZDgxZTYwYjEzZjcwXkEyXkFqcGdeQXVyNTA1NjYyMDk@._V1_FMjpg_UX1000_.jpg
234;The Help;2011;Drama;India;Tate Taylor;Viola Davis;https://www.imdb.com/title/tt1454029;https://m.media-amazon.com/images/M/MV5BMTM5OTMyMjIxOV5BMl5BanBnXkFtZTcwNzU4MjIwNQ@@._V1_FMjpg_UX1000_.jpg
235;Faa yeung nin wa;2000;Romance;Hong Kong;Kar-Wai Wong;Tony Leung Chiu-wai,;https://www.imdb.com/title/tt0118694;https://m.media-amazon.com/images/M/MV5BYWVjNjMwZTgtMGYyYy00NmVhLWE1NDItMzFhMmJkYTNjYWIwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
236;Mandariinid;2013;Drama;Georgia;Zaza Urushadze;Lembit Ulfsak;https://www.imdb.com/title/tt2991224;https://m.media-amazon.com/images/M/MV5BMTgwNzA3MDQzOV5BMl5BanBnXkFtZTgwNTE5MDE5NDE@._V1_FMjpg_UX1000_.jpg
237;Before Sunset;2004;Romance;USA;Richard Linklater;Ethan Hawke;https://www.imdb.com/title/tt0381681;https://m.media-amazon.com/images/M/MV5BMTQ1MjAwNTM5Ml5BMl5BanBnXkFtZTYwNDM0MTc3._V1_FMjpg_UX1000_.jpg
238;Paper Moon;1973;Drama;USA;Peter Bogdanovich;Ryan O'Neal;https://www.imdb.com/title/tt0070510;https://m.media-amazon.com/images/M/MV5BOWVmYzQwY2MtOTBjNi00MDNhLWI5OGMtN2RiMDYxODI3MjU5XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_FMjpg_UX1000_.jpg
239;Ah-ga-ssi;2016;Romance;South Korea;Chan-wook Park;Kim Min-hee;https://www.imdb.com/title/tt4016934;https://m.media-amazon.com/images/M/MV5BNDJhYTk2MTctZmVmOS00OTViLTgxNjQtMzQxOTRiMDdmNGRjXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
240;Paris, Texas;1984;Drama;West Germany;Wim Wenders;Harry Dean Stanton;https://www.imdb.com/title/tt0087884;https://m.media-amazon.com/images/M/MV5BM2RjMmU3ZWItYzBlMy00ZmJkLWE5YzgtNTVkODdhOWM3NGZhXkEyXkFqcGdeQXVyNDA5Mjg5MjA@._V1_FMjpg_UX1000_.jpg
241;The Best Years of Our Lives;1946;Romance;USA;William Wyler;Myrna Loy;https://www.imdb.com/title/tt0036868;https://m.media-amazon.com/images/M/MV5BY2RmNTRjYzctODI4Ni00MzQyLWEyNTAtNjU0N2JkMTNhNjJkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_FMjpg_UX1000_.jpg
242;Tenk� no shiro Rapyuta;1986;Drama;Japan;Hayao Miyazaki;Mayumi Tanaka;https://www.imdb.com/title/tt0092067;https://m.media-amazon.com/images/M/MV5BNDFhZmY2NTgtMzljYy00MTlhLTgyMjItNTEwZWJkYThhYzkyXkEyXkFqcGdeQXVyNTgyNTA4MjM@._V1_FMjpg_UX1000_.jpg
243;Pirates of the Caribbean: The Curse of the Black Pearl;2003;Adventure;USA;Gore Verbinski;Johnny Depp;https://www.imdb.com/title/tt0325980;https://m.media-amazon.com/images/M/MV5BNGYyZGM5MGMtYTY2Ni00M2Y1LWIzNjQtYWUzM2VlNGVhMDNhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_FMjpg_UX1000_.jpg
244;Blade Runner 2049;2017;Drama;Canada;Denis Villeneuve;Ryan Gosling;https://www.imdb.com/title/tt1856101;https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_FMjpg_UX1000_.jpg
245;La La Land;2016;Comedy;Hong Kong;Damien Chazelle;Ryan Gosling;https://www.imdb.com/title/tt3783958;https://m.media-amazon.com/images/M/MV5BYjZlMzFhM2EtNGM5ZC00OGU0LTg3ZDAtNmQ5Y2RkOGJmZjhhXkEyXkFqcGdeQXVyOTU2NDAzNDE@._V1_FMjpg_UX1000_.jpg
246;Guardians of the Galaxy;2014;Adventure;USA;James Gunn;Chris Pratt;https://www.imdb.com/title/tt2015381;https://m.media-amazon.com/images/M/MV5BNDIzMTk4NDYtMjg5OS00ZGI0LWJhZDYtMzdmZGY1YWU5ZGNkXkEyXkFqcGdeQXVyMTI5NzUyMTIz._V1_FMjpg_UX1000_.jpg
247;Fanny och Alexander;1982;Drama;Sweden;Ingmar Bergman;Bertil Guve;https://www.imdb.com/title/tt0083922;https://m.media-amazon.com/images/M/MV5BZmQzMDE5ZWQtOTU3ZS00ZjdhLWI0OTctZDNkODk4YThmOTRhL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_FMjpg_UX1000_.jpg
248;Tsubaki Sanj�r�;1962;Drama;Japan;Akira Kurosawa;Toshir� Mifune;https://www.imdb.com/title/tt0056443;https://m.media-amazon.com/images/M/MV5BZmY3MDlmODctYTY3Yi00NzYyLWIxNTUtYjVlZWZjMmMwZTBkXkEyXkFqcGdeQXVyMzAxNjg3MjQ@._V1_FMjpg_UX1000_.jpg
